name,price,formatted_price,currency,material,colour,image_url,product_url,category,in_stock,availability,description,sku
Art Deco Velvet Loveseat,33600,"₹33,600",INR,Velvet,Royal blue,https://quillovan.com/images/art-deco-velvet-loveseat-1.jpg,https://quillovan.com/product/art-deco-velvet-loveseat,Sofas,TRUE,In stock,Chic curved-back loveseat sofa in royal blue velvet with gold stiletto legs.,p413
Bohemian Rattan Daybed,27200,"₹27,200",INR,Cotton,Off-white,https://quillovan.com/images/bohemian-rattan-daybed-1.jpg,https://quillovan.com/product/bohemian-rattan-daybed,Sofas,TRUE,In stock,Handcrafted natural rattan daybed frame with a thick off-white cotton cushion.,p419
Charcoal Grey Reclining Sofa,47600,"₹47,600",INR,Micro-suede,Charcoal grey,https://quillovan.com/images/charcoal-grey-reclining-sofa-1.jpg,https://quillovan.com/product/charcoal-grey-reclining-sofa,Sofas,TRUE,In stock,Comfortable plush reclining sofa upholstered in durable charcoal grey micro-suede.,p431
Chic Boucle Loveseat Sofa,31200,"₹31,200",INR,Bouclé,Cream,https://quillovan.com/images/chic-boucle-loveseat-sofa-1.jpg,https://quillovan.com/product/chic-boucle-loveseat-sofa,Sofas,TRUE,In stock,Elegant compact loveseat sofa upholstered in trendy cream boucle fabric.,p427
Classic Leather Chesterfield Sofa,72250,"₹72,250",INR,Top-grain leather,Brown,https://quillovan.com/images/classic-leather-chesterfield-sofa-1.jpg,https://quillovan.com/product/classic-leather-chesterfield-sofa,Sofas,TRUE,In stock,Timeless button-tufted Chesterfield sofa in rich brown top-grain leather.,p405
Coastal Slipcovered Linen Sofa,50150,"₹50,150",INR,Belgian linen,White,https://quillovan.com/images/coastal-slipcovered-linen-sofa-1.jpg,https://quillovan.com/product/coastal-slipcovered-linen-sofa,Sofas,TRUE,In stock,Casual style slipcovered sofa in high-quality white Belgian linen fabric.,p425
Compact Studio Futon Sofa,16200,"₹16,200",INR,Linen,Grey,https://quillovan.com/images/compact-studio-futon-sofa-1.jpg,https://quillovan.com/product/compact-studio-futon-sofa,Sofas,TRUE,In stock,Space-saving convertible futon sofa bed with grey linen upholstery and wooden legs.,p421
Contemporary L-Shaped Sectional,71200,"₹71,200",INR,Metal,Dark grey,https://quillovan.com/images/contemporary-l-shaped-sectional-1.jpg,https://quillovan.com/product/contemporary-l-shaped-sectional,Sofas,TRUE,In stock,Spacious dark grey fabric sectional sofa with adjustable headrests and metal legs.,p409
Corduroy Modular Sofa Bed,63750,"₹63,750",INR,Corduroy,Olive green,https://quillovan.com/images/corduroy-modular-sofa-bed-1.jpg,https://quillovan.com/product/corduroy-modular-sofa-bed,Sofas,TRUE,In stock,Versatile multi-piece modular sofa bed upholstered in olive green corduroy.,p423
Cream Upholstered Corner Sofa,78300,"₹78,300",INR,Linen blend,Cream,https://quillovan.com/images/cream-upholstered-corner-sofa-1.jpg,https://quillovan.com/product/cream-upholstered-corner-sofa,Sofas,TRUE,In stock,Large modular corner sofa upholstered in textured cream linen blend fabric.,p432
Deep Seat Lounge Sofa,48800,"₹48,800",INR,Linen,Cream,https://quillovan.com/images/deep-seat-lounge-sofa-1.jpg,https://quillovan.com/product/deep-seat-lounge-sofa,Sofas,TRUE,In stock,Extra deep and comfortable lounge sofa in textured cream linen fabric.,p424
Emerald Green Velvet Sofa,39600,"₹39,600",INR,Velvet,Emerald green,https://quillovan.com/images/emerald-green-velvet-sofa-1.jpg,https://quillovan.com/product/emerald-green-velvet-sofa,Sofas,TRUE,In stock,Stunning modern sofa upholstered in soft emerald green velvet with tapered wooden legs.,p430
English Armroll Fabric Sofa,41650,"₹41,650",INR,Cotton,Cream,https://quillovan.com/images/english-armroll-fabric-sofa-1.jpg,https://quillovan.com/product/english-armroll-fabric-sofa,Sofas,TRUE,In stock,Classic design sofa with soft curved armrests and cream colored cotton slipcover.,p415
French Country Cottage Settee,39950,"₹39,950",INR,Oak,Whitewashed,https://quillovan.com/images/french-country-cottage-settee-1.jpg,https://quillovan.com/product/french-country-cottage-settee,Sofas,TRUE,In stock,Charming vintage settee with whitewashed oak frame and ticking stripe fabric.,p428
Industrial Leather Metal Sofa,45900,"₹45,900",INR,Leather,Tan,https://quillovan.com/images/industrial-leather-metal-sofa-1.jpg,https://quillovan.com/product/industrial-leather-metal-sofa,Sofas,TRUE,In stock,Minimalist industrial sofa with black iron frame and tan leather cushions.,p426
Kodai Three-Seater,38400,"₹38,400",INR,Linen,,https://quillovan.com/images/kodai-three-seater-1.jpg,https://quillovan.com/product/kodai-three-seater,Sofas,TRUE,In stock,Deep teak frame with linen cover,p403
Lawson-Style Upholstered Sofa,36800,"₹36,800",INR,Performance fabric,Navy blue,https://quillovan.com/images/lawson-style-upholstered-sofa-1.jpg,https://quillovan.com/product/lawson-style-upholstered-sofa,Sofas,TRUE,In stock,Comfortable three-seater sofa with loose back cushions in navy blue performance fabric.,p416
Luxury Chenille Sectional Sofa,61500,"₹61,500",INR,Chenille,Silver grey,https://quillovan.com/images/luxury-chenille-sectional-sofa-1.jpg,https://quillovan.com/product/luxury-chenille-sectional-sofa,Sofas,TRUE,In stock,Generously sized sectional sofa in plush silver-grey chenille fabric.,p422
Midcentury Modern Sectional Sofa,64800,"₹64,800",INR,Oak,Grey,https://quillovan.com/images/midcentury-modern-sectional-sofa-1.jpg,https://quillovan.com/product/midcentury-modern-sectional-sofa,Sofas,TRUE,In stock,L-shaped sectional sofa upholstered in durable grey weave fabric with tapered oak legs.,p406
Minimalist Grey Fabric Sofa,30600,"₹30,600",INR,Linen blend,Charcoal grey,https://quillovan.com/images/minimalist-grey-fabric-sofa-1.jpg,https://quillovan.com/product/minimalist-grey-fabric-sofa,Sofas,TRUE,In stock,Clean-lined modern three-seater sofa in charcoal grey linen blend fabric.,p411
Modern Velvet Sofa,38400,"₹38,400",INR,Velvet,Emerald green,https://quillovan.com/images/modern-velvet-sofa-1.jpg,https://quillovan.com/product/modern-velvet-sofa,Sofas,TRUE,In stock,Luxurious emerald green velvet sofa with sleek gold-finished metal legs.,p404
Modernist Boucle Curved Sofa,85500,"₹85,500",INR,Bouclé,White,https://quillovan.com/images/modernist-boucle-curved-sofa-1.jpg,https://quillovan.com/product/modernist-boucle-curved-sofa,Sofas,TRUE,In stock,Sculptural curved sofa upholstered in cozy white boucle fabric for a cozy look.,p417
Navy Blue Tufted Sofa,39000,"₹39,000",INR,Fabric,Navy blue,https://quillovan.com/images/navy-blue-tufted-sofa-1.jpg,https://quillovan.com/product/navy-blue-tufted-sofa,Sofas,TRUE,In stock,Sophisticated three-seater sofa with deep tufting in premium navy blue fabric.,p429
Plush Upholstered Daybed,27550,"₹27,550",INR,,Beige,https://quillovan.com/images/plush-upholstered-daybed-1.jpg,https://quillovan.com/product/plush-upholstered-daybed,Sofas,TRUE,In stock,Multifunctional daybed sofa with soft beige upholstery and button-tufted back panel.,p412
Retro Orange Tuxedo Sofa,37100,"₹37,100",INR,Fabric,Orange,https://quillovan.com/images/retro-orange-tuxedo-sofa-1.jpg,https://quillovan.com/product/retro-orange-tuxedo-sofa,Sofas,TRUE,In stock,Mid-century style tuxedo sofa with clean square profile in retro orange fabric.,p418
Rustic Leather Reclining Sofa,52200,"₹52,200",INR,Faux leather,Brown,https://quillovan.com/images/rustic-leather-reclining-sofa-1.jpg,https://quillovan.com/product/rustic-leather-reclining-sofa,Sofas,TRUE,In stock,Comfortable double reclining sofa upholstered in thick distressed brown faux leather.,p414
